time,target,sensor,P,I,D,ds
357,200,239,390.000000,-8.113067,0.000000,381.886933
358,200,239,390.000000,-8.029867,0.000000,381.970133
359,200,219,190.000000,-7.989333,-468.750000,-286.739333
360,200,219,190.000000,-7.948800,0.000000,182.051200
361,200,219,190.000000,-7.908267,0.000000,182.091733
362,200,219,190.000000,-7.867733,0.000000,182.132267
363,200,224,240.000000,-7.816533,117.187500,349.370967
364,200,224,240.000000,-7.765333,0.000000,232.234667
365,200,224,240.000000,-7.714133,0.000000,232.285867
366,200,224,240.000000,-7.662933,0.000000,232.337067
367,200,224,240.000000,-7.611733,0.000000,232.388267
368,200,223,230.000000,-7.562667,-23.437500,198.999833
369,200,223,230.000000,-7.513600,0.000000,222.486400
370,200,223,230.000000,-7.464533,0.000000,222.535467
371,200,223,230.000000,-7.415467,0.000000,222.584533
372,200,223,230.000000,-7.366400,0.000000,222.633600
373,200,222,220.000000,-7.319467,-23.437500,189.243033
374,200,222,220.000000,-7.272533,0.000000,212.727467
375,200,222,220.000000,-7.225600,0.000000,212.774400
376,200,222,220.000000,-7.178667,0.000000,212.821333
377,200,222,220.000000,-7.131733,0.000000,212.868267
378,200,222,220.000000,-7.084800,0.000000,212.915200
379,200,222,220.000000,-7.037867,0.000000,212.962133
380,200,222,220.000000,-6.990933,0.000000,213.009067
381,200,222,220.000000,-6.944000,0.000000,213.056000
382,200,222,220.000000,-6.897067,0.000000,213.102933
383,200,227,270.000000,-6.839467,117.187500,380.348033
384,200,227,270.000000,-6.781867,0.000000,263.218133
385,200,227,270.000000,-6.724267,0.000000,263.275733
386,200,227,270.000000,-6.666667,0.000000,263.333333
387,200,227,270.000000,-6.609067,0.000000,263.390933
388,200,229,290.000000,-6.547200,46.875000,330.327800
389,200,229,290.000000,-6.485333,0.000000,283.514667
390,200,229,290.000000,-6.423467,0.000000,283.576533
391,200,229,290.000000,-6.361600,0.000000,283.638400
392,200,229,290.000000,-6.299733,0.000000,283.700267
393,200,231,310.000000,-6.233600,46.875000,350.641400
394,200,231,310.000000,-6.167467,0.000000,303.832533
